Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.48.15-87.240.129.180-41880-443-6,172.16.48.15,41880,87.240.129.180,443,6,06/03/2023 03:31:07 下午,2016807,65,67,68557,5957,1460,0,1054.723077,584.5018314,2840,0,88.91044776,428.1584503,36946.51992,65.449991,15395.47328,99229.75407,988544,1,2016807,31512.60937,141246.5853,991703,6,1675199,25381.80303,133127.8977,988544,2,0,0,0,0,1320,1344,32.22916224,33.22082877,0,2840,560.2556391,702.0295864,492845.5402,0,2,0,25,131,0,0,0,1,564.5,1054.723077,88.91044776,0,0,0,74514,65,44512,0,0,0,0,64240,65535,59,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-93.186.227.191-35222-443-6,172.16.48.15,35222,93.186.227.191,443,6,06/03/2023 03:31:11 下午,1351807,30,33,886,61679,270,0,29.53333333,68.56747662,7100,0,1869.060606,1506.710779,46282.49447,46.60428597,21803.33871,55757.06718,265482,11,1351807,46614.03448,75563.96861,266186,347,1088276,34008.625,63680.90579,265482,380,0,0,0,0,620,664,22.19251713,24.41176884,0,7100,977.578125,1419.410785,2014726.978,0,2,0,30,62,0,0,0,1,993.0952381,29.53333333,1869.060606,0,0,0,62565,32,57531,0,0,0,0,64240,65535,6,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.163.42-37692-443-6,172.16.48.15,37692,172.217.163.42,443,6,06/03/2023 03:31:12 下午,1053919,2,0,0,0,0,0,0,0,0,0,0,0,0,1.897679044,1053919,0,1053919,1053919,1053919,1053919,0,1053919,1053919,0,0,0,0,0,0,0,0,0,80,0,1.897679044,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
87.240.190.75-172.16.48.15-443-56770-6,87.240.190.75,443,172.16.48.15,56770,6,06/03/2023 03:31:03 下午,9364,2,1,318,127,318,0,159,224.8599564,127,127,127,0,47522.42631,320.3759077,4682,5929.797467,8875,489,9364,9364,0,9364,9364,0,0,0,0,0,1,0,0,0,40,20,213.5839385,106.7919692,0,318,190.75,155.8147939,24278.25,0,0,0,2,3,0,0,0,0,254.3333333,159,127,0,0,0,0,0,0,0,0,0,0,65535,63900,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.14-47374-443-6,172.16.48.15,47374,142.251.43.14,443,6,06/03/2023 03:31:07 下午,3158056,3,0,0,0,0,0,0,0,0,0,0,0,0,0.949951489,1579028,722937.4878,2090222,1067834,3158056,1579028,722937.4878,2090222,1067834,0,0,0,0,0,0,0,0,0,120,0,0.949951489,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-120.253.253.161-59128-443-6,172.16.48.15,59128,120.253.253.161,443,6,06/03/2023 03:31:11 下午,85667,2,2,911,364,911,0,455.5,644.1742777,364,0,182,257.3868684,14883.21057,46.69242532,28555.66667,49023.83849,85163,42,85667,85667,0,85667,85667,85163,85163,0,85163,85163,1,0,0,0,40,40,23.34621266,23.34621266,0,911,437.2,457.3343416,209154.7,0,0,0,2,4,0,0,0,1,546.5,455.5,182,0,0,0,0,0,0,0,0,0,0,63900,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.42.238-40182-443-6,172.16.48.15,40182,142.251.42.238,443,6,06/03/2023 03:31:01 下午,3140520,3,0,0,0,0,0,0,0,0,0,0,0,0,0.955255818,1570260,713459.4285,2074752,1065768,3140520,1570260,713459.4285,2074752,1065768,0,0,0,0,0,0,0,0,0,120,0,0.955255818,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-64365-53-17,172.16.48.15,64365,10.128.1.114,53,17,06/03/2023 03:31:05 下午,1494519,1,1,27,107,27,27,27,0,107,107,107,0,89.66095446,1.338223201,1494519,0,1494519,1494519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.6691116,0.6691116,27,107,53.66666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,1,80.5,27,107,0,0,0,0,0,0,1,27,1,107,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.160.74-44524-443-6,172.16.48.15,44524,172.217.160.74,443,6,06/03/2023 03:31:10 下午,3125396,3,0,0,0,0,0,0,0,0,0,0,0,0,0.959878364,1562698,731545.8058,2079979,1045417,3125396,1562698,731545.8058,2079979,1045417,0,0,0,0,0,0,0,0,0,120,0,0.959878364,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-65230-53-17,172.16.48.15,65230,10.128.1.114,53,17,06/03/2023 03:31:09 下午,1477427,1,1,39,55,39,39,39,0,55,55,55,0,63.62412491,1.353704785,1477427,0,1477427,1477427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.676852393,0.676852393,39,55,44.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,66.5,39,55,0,0,0,0,0,0,1,39,1,55,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.163.46-50824-443-6,172.16.48.15,50824,172.217.163.46,443,6,06/03/2023 03:30:56 下午,3112389,3,0,0,0,0,0,0,0,0,0,0,0,0,0.963889797,1556194.5,740219.8846,2079609,1032780,3112389,1556194.5,740219.8846,2079609,1032780,0,0,0,0,0,0,0,0,0,120,0,0.963889797,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.160.78-36504-443-6,172.16.48.15,36504,172.217.160.78,443,6,06/03/2023 03:31:12 下午,1068364,2,0,0,0,0,0,0,0,0,0,0,0,0,1.872021146,1068364,0,1068364,1068364,1068364,1068364,0,1068364,1068364,0,0,0,0,0,0,0,0,0,80,0,1.872021146,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.10-37780-443-6,172.16.48.15,37780,142.251.43.10,443,6,06/03/2023 03:30:59 下午,8320398,2,0,0,0,0,0,0,0,0,0,0,0,0,0.240373117,8320398,0,8320398,8320398,8320398,8320398,0,8320398,8320398,0,0,0,0,0,0,0,0,0,80,0,0.240373117,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,8320398,0,8320398,8320398,NeedManualLabel
172.16.48.15-142.251.42.234-59192-443-6,172.16.48.15,59192,142.251.42.234,443,6,06/03/2023 03:31:04 下午,7222589,4,0,0,0,0,0,0,0,0,0,0,0,0,0.553818028,2407529.667,1534196.929,4079623,1064691,7222589,2407529.667,1534196.929,4079623,1064691,0,0,0,0,0,0,0,0,0,160,0,0.553818028,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.160.74-44510-443-6,172.16.48.15,44510,172.217.160.74,443,6,06/03/2023 03:30:58 下午,4078391,2,0,0,0,0,0,0,0,0,0,0,0,0,0.49038947,4078391,0,4078391,4078391,4078391,4078391,0,4078391,4078391,0,0,0,0,0,0,0,0,0,80,0,0.49038947,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.160.106-49396-443-6,172.16.48.15,49396,172.217.160.106,443,6,06/03/2023 03:30:59 下午,7208794,4,0,0,0,0,0,0,0,0,0,0,0,0,0.554877834,2402931.333,1551503.343,4090639,1038602,7208794,2402931.333,1551503.343,4090639,1038602,0,0,0,0,0,0,0,0,0,160,0,0.554877834,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.190.75-56684-443-6,172.16.48.15,56684,87.240.190.75,443,6,06/03/2023 03:31:05 下午,5221730,22,24,5473,10710,1460,0,248.7727273,413.9175133,2702,0,446.25,759.6826139,3099.164453,8.809340966,116038.4444,486365.9978,3233063,13,5221730,248653.8095,698209.9488,3233063,22,5221229,227009.9565,668617.8407,3233953,13,1,0,0,0,440,480,4.21316307,4.596177895,0,2702,352.893617,613.6451047,376560.3145,0,0,0,23,46,0,0,0,1,360.5652174,248.7727273,446.25,0,0,0,8091,12,8137,22,5473,24,10710,63900,65535,7,20,0,0,0,0,0,0,0,0,NeedManualLabel
