Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.48.15-172.217.160.106-49706-443-6,172.16.48.15,49706,172.217.160.106,443,6,06/03/2023 03:42:55 下午,1033913,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9343987356769863,1033913.0,0.0,1033913.0,1033913.0,1033913.0,1033913.0,0.0,1033913.0,1033913.0,0,0,0,0,0,0,0,0,0,80,0,1.9343987356769863,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-63375-53-17,172.16.48.15,63375,10.128.1.114,53,17,06/03/2023 03:42:50 下午,11792,1,1,53.0,133.0,53.0,53.0,53.0,0.0,133.0,133.0,133.0,0.0,15773.405698778832,169.60651289009496,11792.0,0.0,11792.0,11792.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,84.80325644504748,84.80325644504748,53.0,133.0,79.66666666666667,46.188021535170066,2133.3333333333335,0,0,0,0,0,0,0,0,1.0,119.5,53.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.185.191-38200-443-6,172.16.48.15,38200,87.240.185.191,443,6,06/03/2023 03:42:52 下午,1856327,53,75,1172.0,128978.0,517.0,0.0,22.11320754716982,91.6040099007593,4182.0,0.0,1719.7066666666663,916.5579525378416,70111.56978269454,68.95336866834346,14616.748031496063,48046.67587645661,307369.0,14.0,1856327.0,35698.59615384617,71100.95816685932,310759.0,199.0,1549220.0,20935.40540540541,54054.09735813983,307369.0,60.0,0,0,0,0,1080,1504,28.55100421423596,40.40236445410749,0.0,4182.0,1008.9147286821704,1093.739807316848,1196266.7661094961,0,2,0,74,127,0,0,0,1.0,1016.796875,22.11320754716981,1719.7066666666667,0,0,0,130150,74,84050,0,0,0,0,64240,65535,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.129.180-42176-443-6,172.16.48.15,42176,87.240.129.180,443,6,06/03/2023 03:42:47 下午,4521259,158,161,191055.0,5706.0,1460.0,0.0,1209.2088607594937,465.6225755383033,2521.0,0.0,35.440993788819874,251.34343647488825,43519.0728954037,70.55556870331915,14217.795597484273,162035.47078817294,2783516.0,0.0,4521259.0,28797.828025477702,276486.45520786825,3430952.0,0.0,4244500.0,26528.125,227071.15942765775,2783516.0,2.0,0,0,0,0,3180,3224,34.94601835462202,35.60955034869713,0.0,2521.0,614.8781250000004,695.6867612219022,483980.0697394199,0,2,0,46,318,0,0,0,1.0,616.8056426332288,1209.2088607594937,35.440993788819874,0,0,0,195141,156,240427,158,191055,161,5706,64240,65535,152,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.10-38090-443-6,172.16.48.15,38090,142.251.43.10,443,6,06/03/2023 03:42:50 下午,3158761,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9497394706342138,1579380.5,708356.2388689042,2080264.0,1078497.0,3158761.0,1579380.5,708356.2388689042,2080264.0,1078497.0,0,0,0,0,0,0,0,0,0,120,0,0.9497394706342138,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
87.240.190.75-172.16.48.15-443-56770-6,87.240.190.75,443,172.16.48.15,56770,6,06/03/2023 03:42:53 下午,3763,2,1,318.0,128.0,318.0,0.0,159.0,224.8599564173221,128.0,128.0,128.0,0.0,118522.45548764284,797.2362476747277,1881.5,1222.5876246715407,2746.0,1017.0,3763.0,3763.0,0.0,3763.0,3763.0,0,0,0,0,0,1,0,0,0,40,20,531.4908317831517,265.7454158915759,0.0,318.0,191.0,155.67915724335097,24236.0,0,0,0,2,3,0,0,0,0.0,254.66666666666666,159.0,128.0,0,0,0,0,0,0,0,0,0,0,65535,63900,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.10-38084-443-6,172.16.48.15,38084,142.251.43.10,443,6,06/03/2023 03:42:35 下午,7215655,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.55435022877341,2405218.3333333335,1537896.8140734714,4079787.0,1056083.0,7215655.0,2405218.3333333335,1537896.8140734714,4079787.0,1056083.0,0,0,0,0,0,0,0,0,0,160,0,0.55435022877341,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-93.186.225.205-53938-443-6,172.16.48.15,53938,93.186.225.205,443,6,06/03/2023 03:42:45 下午,7166196,26,30,6192.0,12840.0,1460.0,0.0,238.15384615384616,384.1180747955183,2297.0,0.0,428.0,676.1277679704403,2655.802325250384,7.81446669892925,130294.47272727278,544988.8577824272,3976288.0,12.0,7166196.0,286647.83999999997,789971.4442775595,3976288.0,289.0,7165205.0,247076.03448275858,737533.5312695224,3976968.0,30.0,1,0,0,0,520,600,3.628145253074295,4.186321445854955,0.0,2297.0,340.91228070175447,558.2424998121257,311634.6885964912,0,0,0,29,56,0,0,0,1.0,347.0,238.15384615384616,428.0,0,0,0,9516,15,5966,26,6192,30,12840,62846,65535,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.163.42-37976-443-6,172.16.48.15,37976,172.217.163.42,443,6,06/03/2023 03:42:45 下午,7215054,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.554396405071951,2405018.0,1538558.66398295,4080209.0,1055110.0,7215054.0,2405018.0,1538558.66398295,4080209.0,1055110.0,0,0,0,0,0,0,0,0,0,160,0,0.554396405071951,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.129.132-58538-443-6,172.16.48.15,58538,87.240.129.132,443,6,06/03/2023 03:42:46 下午,467,1,1,422.0,0.0,422.0,422.0,422.0,0.0,0.0,0.0,0.0,0.0,903640.2569593147,4282.655246252676,467.0,0.0,467.0,467.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,2141.327623126338,2141.327623126338,0.0,422.0,281.33333333333337,243.64181359802205,59361.33333333333,0,0,0,1,2,0,0,0,1.0,422.0,422.0,0.0,0,0,0,0,0,0,0,0,0,0,62846,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
