Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.48.15-111.30.185.218-37860-80-6,172.16.48.15,37860,111.30.185.218,80,6,06/03/2023 03:45:02 下午,30852,2,2,6.0,5.0,6.0,0.0,3.0,4.242640687119285,5.0,0.0,2.5,3.5355339059327378,356.5409049656424,129.6512381693245,10284.0,17039.117436064582,29953.0,26.0,30852.0,30852.0,0.0,30852.0,30852.0,29953.0,29953.0,0.0,29953.0,29953.0,1,0,0,0,40,40,64.82561908466225,64.82561908466225,0.0,6.0,3.4,3.1304951684997055,9.8,0,0,0,2,4,0,0,0,1.0,4.25,3.0,2.5,0,0,0,0,0,0,0,0,0,0,63977,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-64749-53-17,172.16.48.15,64749,10.128.1.114,53,17,06/03/2023 03:45:04 下午,9493,1,1,30.0,62.0,30.0,30.0,30.0,0.0,62.0,62.0,62.0,0.0,9691.351522174235,210.68155482987464,9493.0,0.0,9493.0,9493.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,105.34077741493732,105.34077741493732,30.0,62.0,40.666666666666664,18.475208614068023,341.3333333333333,0,0,0,0,0,0,0,0,1.0,61.0,30.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.160.106-49760-443-6,172.16.48.15,49760,172.217.160.106,443,6,06/03/2023 03:45:05 下午,3090004,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9708725296148484,1545002.0,758601.1254196767,2081414.0,1008590.0,3090004.0,1545002.0,758601.1254196767,2081414.0,1008590.0,0,0,0,0,0,0,0,0,0,120,0,0.9708725296148484,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
87.240.137.208-172.16.48.15-443-41078-6,87.240.137.208,443,172.16.48.15,41078,6,06/03/2023 03:45:04 下午,5385,2,1,318.0,128.0,318.0,0.0,159.0,224.8599564173221,128.0,128.0,128.0,0.0,82822.65552460539,557.1030640668523,2692.5,3011.567781073506,4822.0,563.0,5385.0,5385.0,0.0,5385.0,5385.0,0,0,0,0,0,1,0,0,0,40,20,371.4020427112349,185.70102135561746,0.0,318.0,191.0,155.67915724335097,24236.0,0,0,0,2,3,0,0,0,0.0,254.66666666666666,159.0,128.0,0,0,0,0,0,0,0,0,0,0,65535,62846,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.129.181-45812-443-6,172.16.48.15,45812,87.240.129.181,443,6,06/03/2023 03:45:04 下午,3262233,5,2,517.0,0.0,517.0,0.0,103.4,231.20942887347826,0.0,0.0,0.0,0.0,158.48040284063094,2.1457694775327205,543705.5,857488.3259556949,2078716.0,59.0,3261983.0,815495.75,964366.2774189673,2078716.0,278.0,587.0,587.0,0.0,587.0,587.0,0,0,0,0,160,44,1.5326924839519434,0.6130769935807773,0.0,517.0,64.625,182.78710293672256,33411.12500000001,0,4,0,1,4,0,0,0,0.0,73.85714285714286,103.4,0.0,0,0,0,0,0,0,2,258,1,0,64240,65535,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-93.186.225.205-53938-443-6,172.16.48.15,53938,93.186.225.205,443,6,06/03/2023 03:45:04 下午,3640836,20,24,5398.0,12697.0,1460.0,0.0,269.9,422.14650736943275,2802.0,0.0,529.0416666666666,763.3818623425783,4970.0123817716585,12.085136490630173,84670.60465116281,319722.50509808835,2066820.0,7.0,3640836.0,191622.94736842104,468771.7718441902,2066820.0,22.0,3640036.0,158262.43478260867,428336.5137073702,2067557.0,14.0,1,0,0,0,400,480,5.493243859377351,6.591892631252822,0.0,2802.0,411.0,631.0517195343601,398226.2727272727,0,0,0,23,44,0,0,0,1.0,420.34090909090907,269.9,529.0416666666666,0,0,0,9047,12,11496,20,5398,24,12697,62846,65535,7,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.10-38152-443-6,172.16.48.15,38152,142.251.43.10,443,6,06/03/2023 03:45:05 下午,3089488,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9710346827694428,1544744.0,758944.7793153333,2081399.0,1008089.0,3089488.0,1544744.0,758944.7793153333,2081399.0,1008089.0,0,0,0,0,0,0,0,0,0,120,0,0.9710346827694428,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.10-38144-443-6,172.16.48.15,38144,142.251.43.10,443,6,06/03/2023 03:45:01 下午,2090061,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9569098700947006,2090061.0,0.0,2090061.0,2090061.0,2090061.0,2090061.0,0.0,2090061.0,2090061.0,0,0,0,0,0,0,0,0,0,80,0,0.9569098700947006,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.185.191-38200-443-6,172.16.48.15,38200,87.240.185.191,443,6,06/03/2023 03:45:07 下午,707735,54,75,334.0,146177.0,175.0,0.0,6.185185185185188,31.872430905907564,6970.0,0.0,1949.0266666666666,1018.6590413492252,207013.92470345538,182.27161296247888,5529.179687500001,32108.941815493785,320029.0,9.0,707735.0,13353.490566037734,49210.34551823375,320462.0,579.0,707324.0,9558.432432432433,41891.508971628486,320029.0,171.0,1,0,0,0,1080,1500,76.29974496103767,105.97186800144122,0.0,6970.0,1128.3538461538458,1233.4579605681613,1521418.5404889677,0,0,0,75,129,0,0,0,1.0,1137.1007751937984,6.185185185185185,1949.0266666666666,0,0,0,146511,75,207017,0,0,0,0,65535,65535,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.129.180-42176-443-6,172.16.48.15,42176,87.240.129.180,443,6,06/03/2023 03:45:04 下午,2111702,158,158,196552.0,1664.0,1460.0,0.0,1244.0000000000005,425.12399090537366,1420.0,0.0,10.531645569620254,114.02992516415874,93865.51700950228,149.6423264267401,6703.815873015873,100631.90840180957,1767199.0,0.0,2111702.0,13450.331210191083,146882.7782652822,1822951.0,0.0,2111092.0,13446.445859872614,142451.72228582346,1767199.0,2.0,1,0,0,0,3160,3160,74.82116321337006,74.82116321337006,0.0,1460.0,629.514195583596,691.5324094890976,478217.073373797,0,0,0,39,316,0,0,0,1.0,631.506329113924,1244.0,10.531645569620252,0,0,0,196594,156,681711,158,196552,158,1664,62846,65535,154,20,0,0,0,0,0,0,0,0,NeedManualLabel
